Name,File Size (paragraphs),Kappa,Agreement,A And B (%),Not A And Not B (%),Disagreement,A And Not B (%),B And Not A (%)
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Peng, Roger D., Dominici, Francesca & Zeger, Scott L. (2006)",157,0,94.9,0,94.9,5.1,0,5.1
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Valdez, Joshua, Kim, Matthew, Rueschman, Michael, Socrates, Vimig, Redline, Susan & Sahoo, Satya S. (2017)",183,0,99.45,0,99.45,0.55,0,0.55
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Yong, Ed (2018) (2)",33,0,96.97,0,96.97,3.03,0,3.03
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Gelman, Andrew (2018)",121,0.04,86.78,0.83,85.95,13.23,5.79,7.44
Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Editorial - 2013 - Announcement Reducing our irreproducibility,23,0.36,86.96,4.35,82.61,13.04,0,13.04
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Shrout, Patrick E. & Rodgers, Joseph L. (2018)",327,0.39,98.16,0.61,97.55,1.83,1.22,0.61
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Kummer, Larry & Editor (2016)",313,0.5,99.36,0.32,99.04,0.64,0.32,0.32
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Nosek, Brian A., Spies, Jeffrey R. & Motyl, Matt (2012)",265,0.66,99.63,0.38,99.25,0.38,0,0.38
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Simmons, Joseph P., Nelson, Leif D. & Simonsohn, Uri (2011)",132,0.8,99.25,1.52,97.73,0.76,0.76,0
Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : 2013 - The Statistical Puzzle Over How Much Biomedical Re,27,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : 2018 - Gender and Health - Gender Health; Reports on Gend,20,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Achenbach, Joel (2014)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Alberts, Bruce, Cicerone, Ralph J., Fienberg, Stephen E., Kamb, Alexander, McNutt, Marcia, Nerem, Robert M., Schekman, Randy, Shiffrin, Richard, Stodden, Victoria, Suresh, Subra, Zuber, Maria T., Pope, Barbara Kline & Jamieson, Kathleen Hall (2015)",93,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Baker, Monya (2015) (2)",51,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Baker, Monya (2016)",40,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Diep, Francie (2014)",13,1,100,7.69,92.31,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Doctorow, Cory (2018)",28,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Fanelli, Daniele (2018)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Gall, Thomas, Ioannidis, John P. A. & Maniadis, Zacharias (2017)",160,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Gibney, Elizabeth (2012)",45,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Gopinath, C. (2013)",26,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Hengartner, Michael P. (2018)",97,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Justice, Monica J. & Dhillon, Paraminder (2016)",45,1,100,6.67,93.33,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Laframboise, Donna (2018)",39,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Lilienfeld, Scott O. (2017)",79,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Macleod, Malcolm R. (2018)",52,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Murphy, Kate (2017)",32,1,100,12.5,87.5,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Oransky, Ivan (2014)",123,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Parsons, Sam (2017)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Price, Michael, 2011 & Am, 10~00 (2011)",53,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Reardon, Sara (2016)",48,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Rehman, Jalees (2013)",57,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Rhodes, Ella (2015)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Other statistical discussion : Zwaan, Rolf A., Pecher, Diane, Paolacci, Gabriele, Bouwmeester, Samantha, Verkoeijen, Peter, Dijkstra, Katinka & Zeelenberg, René (2018)",108,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Regulation,"",0.42,99.58,0.15,99.43,0.42,0.21,0.21
"Nodes\\Sources and solutions\Regulation : Gall, Thomas, Ioannidis, John P. A. & Maniadis, Zacharias (2017)",160,0,98.75,0,98.75,1.25,1.25,0
"Nodes\\Sources and solutions\Regulation : Gibney, Elizabeth (2012)",45,0,95.56,0,95.56,4.44,0,4.44
"Nodes\\Sources and solutions\Regulation : Laframboise, Donna (2017)",23,0,91.3,0,91.3,8.7,8.7,0
"Nodes\\Sources and solutions\Regulation : Nosek, Brian A., Spies, Jeffrey R. & Motyl, Matt (2012)",265,0,99.62,0,99.62,0.38,0.38,0
"Nodes\\Sources and solutions\Regulation : Vazire, Simine (2018)",102,0,98.04,0,98.04,1.96,0,1.96
"Nodes\\Sources and solutions\Regulation : Gordon, Ascelin & Fidler, Fiona (2013)",53,0.66,98.12,1.89,96.23,1.89,0,1.89
"Nodes\\Sources and solutions\Regulation : Alberts, Bruce, Cicerone, Ralph J., Fienberg, Stephen E., Kamb, Alexander, McNutt, Marcia, Nerem, Robert M., Schekman, Randy, Shiffrin, Richard, Stodden, Victoria, Suresh, Subra, Zuber, Maria T., Pope, Barbara Kline & Jamieson, Kathleen Hall (2015)",93,0.74,97.85,3.23,94.62,2.15,0,2.15
Nodes\\Sources and solutions\Regulation : 2013 - The Statistical Puzzle Over How Much Biomedical Re,27,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Regulation : 2018 - Gender and Health - Gender Health; Reports on Gend,20,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Achenbach, Joel (2014)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Bak, Thomas H. (2016)",137,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Baker, Monya (2015) (2)",51,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Baker, Monya (2016)",40,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Botkin-Kowacki, Eva (2016)",39,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Button, Katherine S., Ioannidis, John P. A., Mokrysz, Claire, Nosek, Brian A., Flint, Jonathan, Robinson, Emma S. J. & Munafò, Marcus R. (2013)",450,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Croughan, Matthew (2017)",81,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Diep, Francie (2014)",13,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Diep, Francie (2018)",31,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Doctorow, Cory (2018)",28,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Doidge, Norman (2016)",134,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Earp, Brian D. & Trafimow, David (2015)",253,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Regulation : Editorial - 2013 - Announcement Reducing our irreproducibility,23,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Fanelli, Daniele (2018)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Freedman, David H. (2010)",54,1,100,1.85,98.15,0,0,0
"Nodes\\Sources and solutions\Regulation : Gelman, Andrew (2018)",121,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Gilbert, Daniel T., King, Gary, Pettigrew, Stephen & Wilson, Timothy D. (2016)",47,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Gopinath, C. (2013)",26,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Hengartner, Michael P. (2018)",97,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Ioannidis, John P. A. (2005)",169,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Justice, Monica J. & Dhillon, Paraminder (2016)",45,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Kummer, Larry & Editor (2016)",313,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Laframboise, Donna (2018)",39,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Leek, Jeffrey T. & Peng, Roger D. (2015)",28,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Lilienfeld, Scott O. (2017)",79,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Lowe, Derek (2013) (2)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Macleod, Malcolm R. (2018)",52,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Murphy, Kate (2017)",32,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Oransky, Ivan (2014)",123,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Parsons, Sam (2017)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Pashler, Harold & Harris, Christine R. (2012)",73,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Peng, Roger D., Dominici, Francesca & Zeger, Scott L. (2006)",157,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Price, Michael, 2011 & Am, 10~00 (2011)",53,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Reardon, Sara (2016)",48,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Rehman, Jalees (2013)",57,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Rhodes, Ella (2015)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Shrout, Patrick E. & Rodgers, Joseph L. (2018)",327,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Simmons, Joseph P., Nelson, Leif D. & Simonsohn, Uri (2011)",132,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Valdez, Joshua, Kim, Matthew, Rueschman, Michael, Socrates, Vimig, Redline, Susan & Sahoo, Satya S. (2017)",183,1,100,0.55,99.45,0,0,0
"Nodes\\Sources and solutions\Regulation : Yong, Ed (2018) (2)",33,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Regulation : Zwaan, Rolf A., Pecher, Diane, Paolacci, Gabriele, Bouwmeester, Samantha, Verkoeijen, Peter, Dijkstra, Katinka & Zeelenberg, René (2018)",108,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Statistical methods\Effect size,"",0.43,99.04,0.37,98.67,0.96,0.12,0.84
"Nodes\\Sources and solutions\Statistical methods\Effect size : Ioannidis, John P. A. (2005)",169,0,98.82,0,98.82,1.18,0,1.18
"Nodes\\Sources and solutions\Statistical methods\Effect size : Macleod, Malcolm R. (2018)",52,0,88.46,0,88.46,11.54,0,11.54
"Nodes\\Sources and solutions\Statistical methods\Effect size : Peng, Roger D., Dominici, Francesca & Zeger, Scott L. (2006)",157,0,99.36,0,99.36,0.64,0,0.64
"Nodes\\Sources and solutions\Statistical methods\Effect size : Zwaan, Rolf A., Pecher, Diane, Paolacci, Gabriele, Bouwmeester, Samantha, Verkoeijen, Peter, Dijkstra, Katinka & Zeelenberg, René (2018)",108,0,96.3,0,96.3,3.7,0,3.7
"Nodes\\Sources and solutions\Statistical methods\Effect size : Shrout, Patrick E. & Rodgers, Joseph L. (2018)",327,0.47,92.97,3.67,89.3,7.03,2.14,4.89
"Nodes\\Sources and solutions\Statistical methods\Effect size : Hengartner, Michael P. (2018)",97,0.48,95.87,2.06,93.81,4.12,0,4.12
"Nodes\\Sources and solutions\Statistical methods\Effect size : Button, Katherine S., Ioannidis, John P. A., Mokrysz, Claire, Nosek, Brian A., Flint, Jonathan, Robinson, Emma S. J. & Munafò, Marcus R. (2013)",450,0.49,93.77,3.33,90.44,6.22,2,4.22
"Nodes\\Sources and solutions\Statistical methods\Effect size : Gelman, Andrew (2018)",121,0.5,91.74,4.96,86.78,8.26,1.65,6.61
"Nodes\\Sources and solutions\Statistical methods\Effect size : Fanelli, Daniele (2018)",61,0.55,95.08,3.28,91.8,4.92,0,4.92
"Nodes\\Sources and solutions\Statistical methods\Effect size : Nosek, Brian A., Spies, Jeffrey R. & Motyl, Matt (2012)",265,0.66,99.63,0.38,99.25,0.38,0,0.38
Nodes\\Sources and solutions\Statistical methods\Effect size : 2013 - The Statistical Puzzle Over How Much Biomedical Re,27,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Statistical methods\Effect size : 2018 - Gender and Health - Gender Health; Reports on Gend,20,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Achenbach, Joel (2014)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Alberts, Bruce, Cicerone, Ralph J., Fienberg, Stephen E., Kamb, Alexander, McNutt, Marcia, Nerem, Robert M., Schekman, Randy, Shiffrin, Richard, Stodden, Victoria, Suresh, Subra, Zuber, Maria T., Pope, Barbara Kline & Jamieson, Kathleen Hall (2015)",93,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Bak, Thomas H. (2016)",137,1,100,0.73,99.27,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Baker, Monya (2015) (2)",51,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Baker, Monya (2016)",40,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Botkin-Kowacki, Eva (2016)",39,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Croughan, Matthew (2017)",81,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Diep, Francie (2014)",13,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Diep, Francie (2018)",31,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Doctorow, Cory (2018)",28,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Doidge, Norman (2016)",134,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Earp, Brian D. & Trafimow, David (2015)",253,1,100,0,100,0,0,0
Nodes\\Sources and solutions\Statistical methods\Effect size : Editorial - 2013 - Announcement Reducing our irreproducibility,23,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Freedman, David H. (2010)",54,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Gall, Thomas, Ioannidis, John P. A. & Maniadis, Zacharias (2017)",160,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Gibney, Elizabeth (2012)",45,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Gilbert, Daniel T., King, Gary, Pettigrew, Stephen & Wilson, Timothy D. (2016)",47,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Gopinath, C. (2013)",26,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Gordon, Ascelin & Fidler, Fiona (2013)",53,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Justice, Monica J. & Dhillon, Paraminder (2016)",45,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Kummer, Larry & Editor (2016)",313,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Laframboise, Donna (2017)",23,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Laframboise, Donna (2018)",39,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Leek, Jeffrey T. & Peng, Roger D. (2015)",28,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Lilienfeld, Scott O. (2017)",79,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Lowe, Derek (2013) (2)",61,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Murphy, Kate (2017)",32,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Oransky, Ivan (2014)",123,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Parsons, Sam (2017)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Pashler, Harold & Harris, Christine R. (2012)",73,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Price, Michael, 2011 & Am, 10~00 (2011)",53,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Reardon, Sara (2016)",48,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Rehman, Jalees (2013)",57,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Rhodes, Ella (2015)",25,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Simmons, Joseph P., Nelson, Leif D. & Simonsohn, Uri (2011)",132,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Valdez, Joshua, Kim, Matthew, Rueschman, Michael, Socrates, Vimig, Redline, Susan & Sahoo, Satya S. (2017)",183,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Vazire, Simine (2018)",102,1,100,0,100,0,0,0
"Nodes\\Sources and solutions\Statistical methods\Effect size : Yong, Ed (2018) (2)",33,1,100,0,100,0,0,0
Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate,"",0.43,98.88,0.44,98.44,1.12,0.85,0.27
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Freedman, David H. (2010)",54,-0.03,92.59,0,92.59,7.41,5.56,1.85
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Kummer, Larry & Editor (2016)",313,-0,99.04,0,99.04,0.96,0.32,0.64
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Bak, Thomas H. (2016)",137,0,99.27,0,99.27,0.73,0,0.73
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Diep, Francie (2018)",31,0,93.55,0,93.55,6.45,6.45,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Gelman, Andrew (2018)",121,0,99.17,0,99.17,0.83,0,0.83
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Justice, Monica J. & Dhillon, Paraminder (2016)",45,0,97.78,0,97.78,2.22,2.22,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Laframboise, Donna (2018)",39,0,97.44,0,97.44,2.56,2.56,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Macleod, Malcolm R. (2018)",52,0,86.54,0,86.54,13.46,13.46,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Murphy, Kate (2017)",32,0,96.88,0,96.88,3.12,0,3.12
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Nosek, Brian A., Spies, Jeffrey R. & Motyl, Matt (2012)",265,0,99.62,0,99.62,0.38,0.38,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Vazire, Simine (2018)",102,0,98.04,0,98.04,1.96,1.96,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Zwaan, Rolf A., Pecher, Diane, Paolacci, Gabriele, Bouwmeester, Samantha, Verkoeijen, Peter, Dijkstra, Katinka & Zeelenberg, René (2018)",108,0,97.22,0,97.22,2.78,0,2.78
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Yong, Ed (2018) (2)",33,0.48,93.94,3.03,90.91,6.06,6.06,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Price, Michael, 2011 & Am, 10~00 (2011)",53,0.49,96.23,1.89,94.34,3.77,0,3.77
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Rehman, Jalees (2013)",57,0.65,96.49,3.51,92.98,3.51,3.51,0
Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : 2013 - The Statistical Puzzle Over How Much Biomedical Re,27,1,100,0,100,0,0,0
Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : 2018 - Gender and Health - Gender Health; Reports on Gend,20,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Achenbach, Joel (2014)",61,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Alberts, Bruce, Cicerone, Ralph J., Fienberg, Stephen E., Kamb, Alexander, McNutt, Marcia, Nerem, Robert M., Schekman, Randy, Shiffrin, Richard, Stodden, Victoria, Suresh, Subra, Zuber, Maria T., Pope, Barbara Kline & Jamieson, Kathleen Hall (2015)",93,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Baker, Monya (2015) (2)",51,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Baker, Monya (2016)",40,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Botkin-Kowacki, Eva (2016)",39,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Button, Katherine S., Ioannidis, John P. A., Mokrysz, Claire, Nosek, Brian A., Flint, Jonathan, Robinson, Emma S. J. & Munafò, Marcus R. (2013)",450,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Croughan, Matthew (2017)",81,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Diep, Francie (2014)",13,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Doctorow, Cory (2018)",28,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Doidge, Norman (2016)",134,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Earp, Brian D. & Trafimow, David (2015)",253,1,100,0,100,0,0,0
Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Editorial - 2013 - Announcement Reducing our irreproducibility,23,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Fanelli, Daniele (2018)",61,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Gall, Thomas, Ioannidis, John P. A. & Maniadis, Zacharias (2017)",160,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Gibney, Elizabeth (2012)",45,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Gilbert, Daniel T., King, Gary, Pettigrew, Stephen & Wilson, Timothy D. (2016)",47,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Gopinath, C. (2013)",26,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Gordon, Ascelin & Fidler, Fiona (2013)",53,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Hengartner, Michael P. (2018)",97,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Ioannidis, John P. A. (2005)",169,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Laframboise, Donna (2017)",23,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Leek, Jeffrey T. & Peng, Roger D. (2015)",28,1,100,7.14,92.86,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Lilienfeld, Scott O. (2017)",79,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Lowe, Derek (2013) (2)",61,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Oransky, Ivan (2014)",123,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Parsons, Sam (2017)",25,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Pashler, Harold & Harris, Christine R. (2012)",73,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Peng, Roger D., Dominici, Francesca & Zeger, Scott L. (2006)",157,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Reardon, Sara (2016)",48,1,100,6.25,93.75,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Rhodes, Ella (2015)",25,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Shrout, Patrick E. & Rodgers, Joseph L. (2018)",327,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Simmons, Joseph P., Nelson, Leif D. & Simonsohn, Uri (2011)",132,1,100,0,100,0,0,0
"Nodes\\Signs of crisis\Failures to replicate\Other failures to replicate : Valdez, Joshua, Kim, Matthew, Rueschman, Michael, Socrates, Vimig, Redline, Susan & Sahoo, Satya S. (2017)",183,1,100,0,100,0,0,0
Nodes\\Signs of crisis\Attention in scientific venues,"",0.44,98.65,0.54,98.11,1.36,0.55,0.81
"Nodes\\Signs of crisis\Attention in scientific venues : Lowe, Derek (2013) (2)",61,-0.02,96.72,0,96.72,3.28,1.64,1.64
"Nodes\\Signs of crisis\Attention in scientific venues : Achenbach, Joel (2014)",61,0,95.08,0,95.08,4.92,4.92,0
"Nodes\\Signs of crisis\Attention in scientific venues : Botkin-Kowacki, Eva (2016)",39,0,97.44,0,97.44,2.56,0,2.56
"Nodes\\Signs of crisis\Attention in scientific venues : Croughan, Matthew (2017)",81,0,96.3,0,96.3,3.7,0,3.7
"Nodes\\Signs of crisis\Attention in scientific venues : Diep, Francie (2018)",31,0,87.1,0,87.1,12.9,12.9,0
"Nodes\\Signs of crisis\Attention in scientific venues : Fanelli, Daniele (2018)",61,0,95.08,0,95.08,4.92,4.92,0
"Nodes\\Signs of crisis\Attention in scientific venues : Gall, Thomas, Ioannidis, John P. A. & Maniadis, Zacharias (2017)",160,0,99.38,0,99.38,0.62,0,0.62
"Nodes\\Signs of crisis\Attention in scientific venues : Gibney, Elizabeth (2012)",45,0,97.78,0,97.78,2.22,0,2.22
"Nodes\\Signs of crisis\Attention in scientific venues : Laframboise, Donna (2017)",23,0,95.65,0,95.65,4.35,0,4.35
